,start,end,duration,timedelta,seconds
83,2024-01-04 14:47:05+00:00,2024-01-04 14:47:33+00:00,28.0,1 days 20:27:59,160079.0
84,2024-01-04 14:48:06+00:00,2024-01-04 14:48:33+00:00,27.0,1 days 20:29:00,160140.0
85,2024-01-04 14:49:07+00:00,2024-01-04 14:49:34+00:00,27.0,1 days 20:30:01,160201.0
86,2024-01-04 14:50:07+00:00,2024-01-04 14:50:34+00:00,27.0,1 days 20:31:01,160261.0
87,2024-01-04 14:51:08+00:00,2024-01-04 14:51:34+00:00,26.0,1 days 20:32:02,160322.0
88,2024-01-04 14:52:09+00:00,2024-01-04 14:52:34+00:00,25.0,1 days 20:33:03,160383.0
89,2024-01-04 14:53:09+00:00,2024-01-04 14:53:35+00:00,26.0,1 days 20:34:03,160443.0
90,2024-01-04 14:54:10+00:00,2024-01-04 14:54:35+00:00,25.0,1 days 20:35:04,160504.0
91,2024-01-04 14:55:11+00:00,2024-01-04 14:55:35+00:00,24.0,1 days 20:36:05,160565.0
92,2024-01-04 14:56:11+00:00,2024-01-04 14:56:35+00:00,24.0,1 days 20:37:05,160625.0
93,2024-01-04 21:08:05+00:00,2024-01-04 21:08:34+00:00,29.0,2 days 02:48:59,182939.0
94,2024-01-04 21:09:05+00:00,2024-01-04 21:09:34+00:00,29.0,2 days 02:49:59,182999.0
95,2024-01-04 21:10:06+00:00,2024-01-04 21:10:35+00:00,29.0,2 days 02:51:00,183060.0
96,2024-01-04 21:11:06+00:00,2024-01-04 21:11:35+00:00,29.0,2 days 02:52:00,183120.0
97,2024-01-04 21:12:07+00:00,2024-01-04 21:12:36+00:00,29.0,2 days 02:53:01,183181.0
98,2024-01-04 21:13:07+00:00,2024-01-04 21:13:36+00:00,29.0,2 days 02:54:01,183241.0
99,2024-01-04 21:14:08+00:00,2024-01-04 21:14:27+00:00,19.0,2 days 02:55:02,183302.0
100,2024-01-05 03:26:05+00:00,2024-01-05 03:26:34+00:00,29.0,2 days 09:06:59,205619.0
101,2024-01-05 03:27:05+00:00,2024-01-05 03:27:34+00:00,29.0,2 days 09:07:59,205679.0
102,2024-01-05 03:28:05+00:00,2024-01-05 03:28:34+00:00,29.0,2 days 09:08:59,205739.0
103,2024-01-05 03:29:06+00:00,2024-01-05 03:29:35+00:00,29.0,2 days 09:10:00,205800.0
104,2024-01-05 03:30:06+00:00,2024-01-05 03:30:35+00:00,29.0,2 days 09:11:00,205860.0
105,2024-01-05 03:31:07+00:00,2024-01-05 03:31:36+00:00,29.0,2 days 09:12:01,205921.0
106,2024-01-05 03:32:07+00:00,2024-01-05 03:32:36+00:00,29.0,2 days 09:13:01,205981.0
107,2024-01-05 03:33:08+00:00,2024-01-05 03:33:36+00:00,28.0,2 days 09:14:02,206042.0
108,2024-01-05 03:34:08+00:00,2024-01-05 03:34:37+00:00,29.0,2 days 09:15:02,206102.0
109,2024-01-05 11:10:09+00:00,2024-01-05 11:10:20+00:00,11.0,2 days 16:51:03,233463.0
110,2024-01-05 11:11:11+00:00,2024-01-05 11:11:18+00:00,7.0,2 days 16:52:05,233525.0
111,2024-01-05 17:29:14+00:00,2024-01-05 17:29:16+00:00,2.0,2 days 23:10:08,256208.0
112,2024-01-05 23:51:05+00:00,2024-01-05 23:51:26+00:00,21.0,3 days 05:31:59,279119.0
113,2024-01-05 23:52:06+00:00,2024-01-05 23:52:26+00:00,20.0,3 days 05:33:00,279180.0
114,2024-01-05 23:53:07+00:00,2024-01-05 23:53:26+00:00,19.0,3 days 05:34:01,279241.0
115,2024-01-05 23:54:07+00:00,2024-01-05 23:54:26+00:00,19.0,3 days 05:35:01,279301.0
116,2024-01-05 23:55:09+00:00,2024-01-05 23:55:25+00:00,16.0,3 days 05:36:03,279363.0
117,2024-01-05 23:56:10+00:00,2024-01-05 23:56:25+00:00,15.0,3 days 05:37:04,279424.0
118,2024-01-05 23:57:11+00:00,2024-01-05 23:57:24+00:00,13.0,3 days 05:38:05,279485.0
119,2024-01-05 23:58:13+00:00,2024-01-05 23:58:24+00:00,11.0,3 days 05:39:07,279547.0
120,2024-01-05 23:59:16+00:00,2024-01-05 23:59:22+00:00,6.0,3 days 05:40:10,279610.0
121,2024-01-06 06:10:06+00:00,2024-01-06 06:10:26+00:00,20.0,3 days 11:51:00,301860.0
122,2024-01-06 06:11:06+00:00,2024-01-06 06:11:25+00:00,19.0,3 days 11:52:00,301920.0
123,2024-01-06 06:12:07+00:00,2024-01-06 06:12:25+00:00,18.0,3 days 11:53:01,301981.0
124,2024-01-06 06:13:08+00:00,2024-01-06 06:13:24+00:00,16.0,3 days 11:54:02,302042.0
125,2024-01-06 06:14:10+00:00,2024-01-06 06:14:24+00:00,14.0,3 days 11:55:04,302104.0
126,2024-01-06 06:15:11+00:00,2024-01-06 06:15:23+00:00,12.0,3 days 11:56:05,302165.0
127,2024-01-06 06:16:13+00:00,2024-01-06 06:16:22+00:00,9.0,3 days 11:57:07,302227.0
128,2024-01-06 06:17:17+00:00,2024-01-06 06:17:19+00:00,2.0,3 days 11:58:11,302291.0
129,2024-01-06 12:32:08+00:00,2024-01-06 12:32:30+00:00,22.0,3 days 18:13:02,324782.0
130,2024-01-06 12:33:04+00:00,2024-01-06 12:33:30+00:00,26.0,3 days 18:13:58,324838.0
131,2024-01-06 12:34:05+00:00,2024-01-06 12:34:30+00:00,25.0,3 days 18:14:59,324899.0
132,2024-01-06 12:35:05+00:00,2024-01-06 12:35:30+00:00,25.0,3 days 18:15:59,324959.0
133,2024-01-06 12:36:06+00:00,2024-01-06 12:36:30+00:00,24.0,3 days 18:17:00,325020.0
134,2024-01-06 12:37:07+00:00,2024-01-06 12:37:30+00:00,23.0,3 days 18:18:01,325081.0
135,2024-01-06 12:38:08+00:00,2024-01-06 12:38:31+00:00,23.0,3 days 18:19:02,325142.0
136,2024-01-06 12:39:08+00:00,2024-01-06 12:39:31+00:00,23.0,3 days 18:20:02,325202.0
137,2024-01-06 12:40:09+00:00,2024-01-06 12:40:31+00:00,22.0,3 days 18:21:03,325263.0
138,2024-01-06 12:41:10+00:00,2024-01-06 12:41:31+00:00,21.0,3 days 18:22:04,325324.0
139,2024-01-06 12:42:11+00:00,2024-01-06 12:42:31+00:00,20.0,3 days 18:23:05,325385.0
140,2024-01-06 12:43:12+00:00,2024-01-06 12:43:31+00:00,19.0,3 days 18:24:06,325446.0
141,2024-01-06 12:44:14+00:00,2024-01-06 12:44:31+00:00,17.0,3 days 18:25:08,325508.0
142,2024-01-06 12:45:15+00:00,2024-01-06 12:45:31+00:00,16.0,3 days 18:26:09,325569.0
143,2024-01-06 12:46:16+00:00,2024-01-06 12:46:31+00:00,15.0,3 days 18:27:10,325630.0
144,2024-01-06 12:47:17+00:00,2024-01-06 12:47:31+00:00,14.0,3 days 18:28:11,325691.0
145,2024-01-06 12:48:18+00:00,2024-01-06 12:48:31+00:00,13.0,3 days 18:29:12,325752.0
146,2024-01-06 12:49:19+00:00,2024-01-06 12:49:31+00:00,12.0,3 days 18:30:13,325813.0
147,2024-01-06 18:51:18+00:00,2024-01-06 18:51:29+00:00,11.0,4 days 00:32:12,347532.0
148,2024-01-06 18:52:04+00:00,2024-01-06 18:52:29+00:00,25.0,4 days 00:32:58,347578.0
149,2024-01-06 18:53:05+00:00,2024-01-06 18:53:29+00:00,24.0,4 days 00:33:59,347639.0
150,2024-01-06 18:54:06+00:00,2024-01-06 18:54:30+00:00,24.0,4 days 00:35:00,347700.0
151,2024-01-06 18:55:06+00:00,2024-01-06 18:55:30+00:00,24.0,4 days 00:36:00,347760.0
152,2024-01-06 18:56:07+00:00,2024-01-06 18:56:30+00:00,23.0,4 days 00:37:01,347821.0
153,2024-01-06 18:57:08+00:00,2024-01-06 18:57:30+00:00,22.0,4 days 00:38:02,347882.0
154,2024-01-06 18:58:09+00:00,2024-01-06 18:58:30+00:00,21.0,4 days 00:39:03,347943.0
155,2024-01-06 18:59:10+00:00,2024-01-06 18:59:30+00:00,20.0,4 days 00:40:04,348004.0
156,2024-01-06 19:00:11+00:00,2024-01-06 19:00:30+00:00,19.0,4 days 00:41:05,348065.0
157,2024-01-06 19:01:12+00:00,2024-01-06 19:01:30+00:00,18.0,4 days 00:42:06,348126.0
158,2024-01-06 19:02:14+00:00,2024-01-06 19:02:30+00:00,16.0,4 days 00:43:08,348188.0
159,2024-01-06 19:03:15+00:00,2024-01-06 19:03:29+00:00,14.0,4 days 00:44:09,348249.0
160,2024-01-06 19:04:16+00:00,2024-01-06 19:04:29+00:00,13.0,4 days 00:45:10,348310.0
161,2024-01-06 19:05:18+00:00,2024-01-06 19:05:29+00:00,11.0,4 days 00:46:12,348372.0
162,2024-01-06 19:06:19+00:00,2024-01-06 19:06:29+00:00,10.0,4 days 00:47:13,348433.0
163,2024-01-06 19:07:21+00:00,2024-01-06 19:07:28+00:00,7.0,4 days 00:48:15,348495.0
164,2024-01-06 19:08:23+00:00,2024-01-06 19:08:27+00:00,4.0,4 days 00:49:17,348557.0
165,2024-01-07 01:14:04+00:00,2024-01-07 01:14:32+00:00,28.0,4 days 06:54:58,370498.0
166,2024-01-07 01:15:04+00:00,2024-01-07 01:15:32+00:00,28.0,4 days 06:55:58,370558.0
167,2024-01-07 01:16:05+00:00,2024-01-07 01:16:33+00:00,28.0,4 days 06:56:59,370619.0
168,2024-01-07 01:17:05+00:00,2024-01-07 01:17:33+00:00,28.0,4 days 06:57:59,370679.0
169,2024-01-07 01:18:06+00:00,2024-01-07 01:18:33+00:00,27.0,4 days 06:59:00,370740.0
170,2024-01-07 01:19:06+00:00,2024-01-07 01:19:34+00:00,28.0,4 days 07:00:00,370800.0
171,2024-01-07 01:20:07+00:00,2024-01-07 01:20:34+00:00,27.0,4 days 07:01:01,370861.0
172,2024-01-07 01:21:08+00:00,2024-01-07 01:21:34+00:00,26.0,4 days 07:02:02,370922.0
173,2024-01-07 01:22:08+00:00,2024-01-07 01:22:34+00:00,26.0,4 days 07:03:02,370982.0
174,2024-01-07 01:23:09+00:00,2024-01-07 01:23:35+00:00,26.0,4 days 07:04:03,371043.0
175,2024-01-07 01:24:10+00:00,2024-01-07 01:24:35+00:00,25.0,4 days 07:05:04,371104.0
176,2024-01-07 01:25:10+00:00,2024-01-07 01:25:35+00:00,25.0,4 days 07:06:04,371164.0
177,2024-01-07 01:26:11+00:00,2024-01-07 01:26:36+00:00,25.0,4 days 07:07:05,371225.0
178,2024-01-07 01:27:12+00:00,2024-01-07 01:27:36+00:00,24.0,4 days 07:08:06,371286.0
179,2024-01-07 01:28:13+00:00,2024-01-07 01:28:36+00:00,23.0,4 days 07:09:07,371347.0
180,2024-01-07 01:29:13+00:00,2024-01-07 01:29:36+00:00,23.0,4 days 07:10:07,371407.0
181,2024-01-07 07:33:04+00:00,2024-01-07 07:33:32+00:00,28.0,4 days 13:13:58,393238.0
182,2024-01-07 07:34:04+00:00,2024-01-07 07:34:32+00:00,28.0,4 days 13:14:58,393298.0
183,2024-01-07 07:35:05+00:00,2024-01-07 07:35:32+00:00,27.0,4 days 13:15:59,393359.0
184,2024-01-07 07:36:05+00:00,2024-01-07 07:36:33+00:00,28.0,4 days 13:16:59,393419.0
185,2024-01-07 07:37:06+00:00,2024-01-07 07:37:33+00:00,27.0,4 days 13:18:00,393480.0
186,2024-01-07 07:38:07+00:00,2024-01-07 07:38:33+00:00,26.0,4 days 13:19:01,393541.0
187,2024-01-07 07:39:07+00:00,2024-01-07 07:39:33+00:00,26.0,4 days 13:20:01,393601.0
188,2024-01-07 07:40:08+00:00,2024-01-07 07:40:34+00:00,26.0,4 days 13:21:02,393662.0
189,2024-01-07 07:41:09+00:00,2024-01-07 07:41:34+00:00,25.0,4 days 13:22:03,393723.0
190,2024-01-07 07:42:09+00:00,2024-01-07 07:42:34+00:00,25.0,4 days 13:23:03,393783.0
191,2024-01-07 07:43:10+00:00,2024-01-07 07:43:34+00:00,24.0,4 days 13:24:04,393844.0
192,2024-01-07 07:44:11+00:00,2024-01-07 07:44:35+00:00,24.0,4 days 13:25:05,393905.0
193,2024-01-07 07:45:12+00:00,2024-01-07 07:45:35+00:00,23.0,4 days 13:26:06,393966.0
194,2024-01-07 07:46:12+00:00,2024-01-07 07:46:35+00:00,23.0,4 days 13:27:06,394026.0
195,2024-01-07 07:47:13+00:00,2024-01-07 07:47:35+00:00,22.0,4 days 13:28:07,394087.0
196,2024-01-07 07:48:14+00:00,2024-01-07 07:48:35+00:00,21.0,4 days 13:29:08,394148.0
197,2024-01-07 07:49:15+00:00,2024-01-07 07:49:27+00:00,12.0,4 days 13:30:09,394209.0
198,2024-01-07 13:57:05+00:00,2024-01-07 13:57:34+00:00,29.0,4 days 19:37:59,416279.0
199,2024-01-07 13:58:06+00:00,2024-01-07 13:58:35+00:00,29.0,4 days 19:39:00,416340.0
200,2024-01-07 13:59:06+00:00,2024-01-07 13:59:35+00:00,29.0,4 days 19:40:00,416400.0
201,2024-01-07 14:00:06+00:00,2024-01-07 14:00:35+00:00,29.0,4 days 19:41:00,416460.0
202,2024-01-07 14:01:07+00:00,2024-01-07 14:01:36+00:00,29.0,4 days 19:42:01,416521.0
203,2024-01-07 14:02:07+00:00,2024-01-07 14:02:36+00:00,29.0,4 days 19:43:01,416581.0
204,2024-01-07 14:03:08+00:00,2024-01-07 14:03:36+00:00,28.0,4 days 19:44:02,416642.0
205,2024-01-07 14:04:08+00:00,2024-01-07 14:04:37+00:00,29.0,4 days 19:45:02,416702.0
206,2024-01-07 14:05:09+00:00,2024-01-07 14:05:37+00:00,28.0,4 days 19:46:03,416763.0
207,2024-01-07 14:06:10+00:00,2024-01-07 14:06:37+00:00,27.0,4 days 19:47:04,416824.0
208,2024-01-07 14:07:10+00:00,2024-01-07 14:07:38+00:00,28.0,4 days 19:48:04,416884.0
209,2024-01-07 20:15:25+00:00,2024-01-07 20:15:34+00:00,9.0,5 days 01:56:19,438979.0
