,start,end,duration,timedelta,seconds
116,2024-01-02 16:28:08+00:00,2024-01-02 16:28:37+00:00,29.0,0 days 04:23:19,15799.0
117,2024-01-02 16:29:08+00:00,2024-01-02 16:29:37+00:00,29.0,0 days 04:24:19,15859.0
118,2024-01-02 16:35:11+00:00,2024-01-02 16:35:19+00:00,8.0,0 days 04:30:22,16222.0
119,2024-01-02 16:36:11+00:00,2024-01-02 16:36:21+00:00,10.0,0 days 04:31:22,16282.0
120,2024-01-02 16:37:10+00:00,2024-01-02 16:37:23+00:00,13.0,0 days 04:32:21,16341.0
121,2024-01-02 16:38:10+00:00,2024-01-02 16:38:24+00:00,14.0,0 days 04:33:21,16401.0
122,2024-01-02 16:39:10+00:00,2024-01-02 16:39:25+00:00,15.0,0 days 04:34:21,16461.0
123,2024-01-02 16:40:10+00:00,2024-01-02 16:40:27+00:00,17.0,0 days 04:35:21,16521.0
124,2024-01-02 16:50:42+00:00,2024-01-02 16:51:06+00:00,24.0,0 days 04:45:53,17153.0
125,2024-01-02 16:51:37+00:00,2024-01-02 16:52:06+00:00,29.0,0 days 04:46:48,17208.0
126,2024-01-02 16:52:37+00:00,2024-01-02 16:53:06+00:00,29.0,0 days 04:47:48,17268.0
127,2024-01-02 16:53:38+00:00,2024-01-02 16:54:07+00:00,29.0,0 days 04:48:49,17329.0
128,2024-01-02 16:54:38+00:00,2024-01-02 16:55:07+00:00,29.0,0 days 04:49:49,17389.0
129,2024-01-02 16:55:38+00:00,2024-01-02 16:56:07+00:00,29.0,0 days 04:50:49,17449.0
130,2024-01-02 16:56:39+00:00,2024-01-02 16:57:07+00:00,28.0,0 days 04:51:50,17510.0
131,2024-01-02 16:57:39+00:00,2024-01-02 16:58:07+00:00,28.0,0 days 04:52:50,17570.0
132,2024-01-02 16:58:39+00:00,2024-01-02 16:59:08+00:00,29.0,0 days 04:53:50,17630.0
133,2024-01-02 16:59:30+00:00,2024-01-02 16:59:42+00:00,12.0,0 days 04:54:41,17681.0
134,2024-01-02 17:09:21+00:00,2024-01-02 17:09:49+00:00,28.0,0 days 05:04:32,18272.0
135,2024-01-02 17:38:40+00:00,2024-01-02 17:39:03+00:00,23.0,0 days 05:33:51,20031.0
136,2024-01-02 17:39:37+00:00,2024-01-02 17:40:04+00:00,27.0,0 days 05:34:48,20088.0
137,2024-01-02 17:40:37+00:00,2024-01-02 17:41:04+00:00,27.0,0 days 05:35:48,20148.0
138,2024-01-02 17:41:38+00:00,2024-01-02 17:42:04+00:00,26.0,0 days 05:36:49,20209.0
139,2024-01-02 17:42:38+00:00,2024-01-02 17:43:04+00:00,26.0,0 days 05:37:49,20269.0
140,2024-01-02 17:43:39+00:00,2024-01-02 17:44:05+00:00,26.0,0 days 05:38:50,20330.0
141,2024-01-02 17:44:40+00:00,2024-01-02 17:45:05+00:00,25.0,0 days 05:39:51,20391.0
142,2024-01-02 17:47:23+00:00,2024-01-02 17:47:54+00:00,31.0,0 days 05:42:34,20554.0
143,2024-01-02 17:48:24+00:00,2024-01-02 17:48:54+00:00,30.0,0 days 05:43:35,20615.0
144,2024-01-02 17:49:24+00:00,2024-01-02 17:49:54+00:00,30.0,0 days 05:44:35,20675.0
145,2024-01-02 17:50:25+00:00,2024-01-02 17:50:55+00:00,30.0,0 days 05:45:36,20736.0
146,2024-01-02 17:51:25+00:00,2024-01-02 17:51:54+00:00,29.0,0 days 05:46:36,20796.0
147,2024-01-02 17:52:26+00:00,2024-01-02 17:52:54+00:00,28.0,0 days 05:47:37,20857.0
148,2024-01-02 17:53:27+00:00,2024-01-02 17:53:55+00:00,28.0,0 days 05:48:38,20918.0
149,2024-01-02 17:54:27+00:00,2024-01-02 17:54:55+00:00,28.0,0 days 05:49:38,20978.0
150,2024-01-02 18:06:04+00:00,2024-01-02 18:06:30+00:00,26.0,0 days 06:01:15,21675.0
151,2024-01-02 18:07:04+00:00,2024-01-02 18:07:30+00:00,26.0,0 days 06:02:15,21735.0
152,2024-01-02 18:08:04+00:00,2024-01-02 18:08:31+00:00,27.0,0 days 06:03:15,21795.0
153,2024-01-02 18:09:05+00:00,2024-01-02 18:09:31+00:00,26.0,0 days 06:04:16,21856.0
154,2024-01-02 18:10:05+00:00,2024-01-02 18:10:32+00:00,27.0,0 days 06:05:16,21916.0
155,2024-01-02 18:11:05+00:00,2024-01-02 18:11:32+00:00,27.0,0 days 06:06:16,21976.0
156,2024-01-02 18:12:05+00:00,2024-01-02 18:12:33+00:00,28.0,0 days 06:07:16,22036.0
157,2024-01-02 18:13:05+00:00,2024-01-02 18:13:10+00:00,5.0,0 days 06:08:16,22096.0
158,2024-01-02 18:26:39+00:00,2024-01-02 18:26:59+00:00,20.0,0 days 06:21:50,22910.0
159,2024-01-02 18:27:33+00:00,2024-01-02 18:27:59+00:00,26.0,0 days 06:22:44,22964.0
160,2024-01-02 18:28:33+00:00,2024-01-02 18:28:59+00:00,26.0,0 days 06:23:44,23024.0
161,2024-01-02 18:29:33+00:00,2024-01-02 18:29:59+00:00,26.0,0 days 06:24:44,23084.0
162,2024-01-02 18:30:34+00:00,2024-01-02 18:30:59+00:00,25.0,0 days 06:25:45,23145.0
163,2024-01-02 18:31:34+00:00,2024-01-02 18:31:59+00:00,25.0,0 days 06:26:45,23205.0
164,2024-01-02 18:32:35+00:00,2024-01-02 18:32:59+00:00,24.0,0 days 06:27:46,23266.0
165,2024-01-02 18:33:35+00:00,2024-01-02 18:34:00+00:00,25.0,0 days 06:28:46,23326.0
166,2024-01-02 18:34:36+00:00,2024-01-02 18:35:00+00:00,24.0,0 days 06:29:47,23387.0
167,2024-01-02 18:35:36+00:00,2024-01-02 18:36:00+00:00,24.0,0 days 06:30:47,23447.0
168,2024-01-02 18:44:20+00:00,2024-01-02 18:44:46+00:00,26.0,0 days 06:39:31,23971.0
169,2024-01-02 18:45:19+00:00,2024-01-02 18:45:46+00:00,27.0,0 days 06:40:30,24030.0
170,2024-01-02 18:46:19+00:00,2024-01-02 18:46:47+00:00,28.0,0 days 06:41:30,24090.0
171,2024-01-02 18:47:20+00:00,2024-01-02 18:47:48+00:00,28.0,0 days 06:42:31,24151.0
172,2024-01-02 18:48:20+00:00,2024-01-02 18:48:45+00:00,25.0,0 days 06:43:31,24211.0
173,2024-01-02 18:53:03+00:00,2024-01-02 18:53:31+00:00,28.0,0 days 06:48:14,24494.0
174,2024-01-02 18:54:03+00:00,2024-01-02 18:54:31+00:00,28.0,0 days 06:49:14,24554.0
175,2024-01-02 18:55:04+00:00,2024-01-02 18:55:32+00:00,28.0,0 days 06:50:15,24615.0
176,2024-01-02 18:56:04+00:00,2024-01-02 18:56:33+00:00,29.0,0 days 06:51:15,24675.0
177,2024-01-02 18:57:05+00:00,2024-01-02 18:57:33+00:00,28.0,0 days 06:52:16,24736.0
178,2024-01-02 18:58:05+00:00,2024-01-02 18:58:34+00:00,29.0,0 days 06:53:16,24796.0
179,2024-01-02 19:15:38+00:00,2024-01-02 19:16:07+00:00,29.0,0 days 07:10:49,25849.0
180,2024-01-02 19:16:38+00:00,2024-01-02 19:17:07+00:00,29.0,0 days 07:11:49,25909.0
181,2024-01-02 19:17:38+00:00,2024-01-02 19:18:07+00:00,29.0,0 days 07:12:49,25969.0
